,Key,Values
0,C0020649,0
1,C0042571,1
2,C0042963,2
3,C0022346,3
4,C0019080,4
5,C0030552,5
6,C0424000,6
7,C0085631,7
8,C0040822,8
9,C0015672,9
10,C0013922,10
11,C0011991,11
12,C0013362,12
13,C0085593,13
14,C2363736,14
15,C0018965,15
16,C0038450,16
17,C0221166,17
18,C0028643,18
19,C0013404,19
20,C0016382,20
21,C0038999,21
22,C0149746,22
23,C0036974,23
24,C0010201,24
25,C0033687,25
26,C0030193,26
27,C0392680,27
28,C0851578,28
29,C0026821,29
30,C0038002,30
31,C0231835,31
32,C0015967,32
33,C0085619,33
34,C0700292,34
35,C0424295,35
36,C0018681,36
37,C0038990,37
38,C0035508,38
39,C0027059,39
40,C0027497,40
41,C0221151,41
42,C0241526,42
43,C1291077,43
44,C0042024,44
45,C0028081,45
46,C0039070,46
47,C0162316,47
48,C0858924,48
49,C0151878,49
50,C0239571,50
51,C0014394,51
52,C1299586,52
53,C0438716,53
54,C0031046,54
55,C0002962,55
56,C0029053,56
57,C0852415,57
58,C0003862,58
59,C0000737,59
60,C0085632,60
61,C0040586,61
62,C0241158,62
63,C0039239,63
64,C0013144,64
65,C0011570,65
66,C0009443,66
67,C0004604,67
68,C0041657,68
69,C0017565,69
70,C0848277,70
71,C1565489,71
72,C0240962,72
73,C0002871,73
74,C0009080,74
75,C0008031,75
76,C0236171,76
77,C0042023,77
78,C0850149,78
79,C0231807,79
80,C0026946,80
81,C0010200,81
82,C0006625,82
83,C0232498,83
84,C0238844,84
85,C0016579,85
86,C1305739,86
87,C1513183,87
88,C0277797,88
89,C0036572,89
90,C0919671,90
91,C0003467,91
92,C0577559,92
93,C0232292,93
94,C0020625,94
95,C0037763,95
96,C0549483,96
97,C0040425,97
98,C0033774,98
99,C0149696,99
100,C0278014,100
101,C0013456,101
102,C0344315,102
103,C0743323,103
104,C0018944,104
105,C0023518,105
106,C0015695,106
107,C0872410,107
108,C0020621,108
109,C0376175,109
110,C0741494,110
111,C0038218,111
112,C0019214,112
113,C0239832,113
114,C0742985,114
115,C0030232,115
116,C0149651,116
117,C0031117,117
118,C0425560,118
119,C1269955,119
120,C0003962,120
121,C0009806,121
122,C0020461,122
123,C0018801,123
124,C0239981,124
125,C3714552,125
126,C0029124,126
127,C0043096,127
128,C0018777,128
129,C0234215,129
130,C0005699,130
131,C0038362,131
132,C0034069,132
133,C0578150,133
134,C0337672,134
135,C0150041,135
136,C0476273,136
